Id_cliente;Nome;CPF;Rua;Bairro
1;Bruna Ramos;bruramos@gmail.com;2002-12-11;252.710.751-68;Centro;Sao Jorge;13840-090;A;Januarias
2;Kaique da Costa;costaKaique@hotmail.com;2002-05-02;950.236.120-23;Jose Bonifacio;Vila Nova;78720-798;B;Solimões
3;Livia Moreira;livia123moreira@hotmail.com;2002-08-22;180.057.517-37;Sao Jorge;Bela Vista;75513-492;A;Jaguariuna
4;Leticia Peixoto;leticiapeixoto@gmail.com;2002-08-31;434.295.836-83;Castro Alves ;Boa Vista;06653-370;A;Jaguariuna
5;Pedro Henrique da Paz;pedroHPaz@gmail.com;2011-03-03;251.285.523-65;Pacifico Moneda;Centro;13056-125;B;Campinas
6;Pedro Henrique Farias;pedrinhoFarias@gmail.com;2010-02-17;814.186.838-17;Sete de Setembro;Planalto;89057-440;A;Jaguariuna
7;Kaique da Cruz;kcruz123@gmail.com;2011-11-11;482.312.268-26;Santo Antonio;Sao Cristovao;32073-580;A;Jaguariuna
8;Esther Vieira;esthervieira45@gmail.com;2011-10-10;678.713.433-94;Sao Pedro;Boa Vista;81305-460;A;Jaguariuna
9;Emilly da Paz;emilypaz23@hotmail.com;2011-11-02;678.729.375-57;Dom Pedro II;Vila Nova;06724-040;A;Jaguariuna
10;Leticia Fernandes;leticiafernandes444@gmail.com;2011-03-03;844.337.174-95;Tiradentes;Centro;35680-192;A;Jaguariuna
11;Alana Duarte;duarteAlana12@hotmail.com;2011-05-30;083.791.130-39;Duque de Caxias;Bela Vista;85805-240;A;Jaguariuna
12;Enzo Gabriel Viana;enzoGabriel@gmail.com;2011-12-21;716.856.809-41;Sao Pedro;Sao Cristovao;33943-782;A;Jaguariuna
